"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","##Central Absentee","00","Local","0","752","0","0","752","0","0","0"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","##Central Absentee","02","Congressional","0","752","0","0","752","0","0","0"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","101 - CHINCOTEAGUE","02","Congressional","0","0","1169","0","1169","2406","149","2555"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","201 - ATLANTIC","02","Congressional","0","0","529","0","529","1084","65","1149"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","202 - GREENBACKVILLE","02","Congressional","0","0","658","0","658","1541","117","1658"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","301 - NEW CHURCH","02","Congressional","1","0","731","0","732","2302","258","2560"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","401 - BLOXOM","02","Congressional","0","0","317","0","317","750","47","797"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","402 - PARKSLEY","02","Congressional","0","0","524","0","524","1097","65","1162"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","403 - SAXIS","02","Congressional","0","0","140","0","140","311","18","329"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","501 - MAPPSVILLE","02","Congressional","0","0","408","0","408","1071","58","1129"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","502 - RUE","02","Congressional","0","0","342","0","342","977","71","1048"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","601 - ACCOMAC","02","Congressional","0","0","835","0","835","1830","144","1974"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","602 - TANGIER","02","Congressional","0","0","174","0","174","366","3","369"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","701 - NANDUA","02","Congressional","0","0","1451","0","1451","2670","166","2836"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","801 - BOBTOWN","02","Congressional","0","0","481","0","481","880","35","915"
"2017 November General","2017-11-07 00:00:00","ACCOMACK COUNTY","802 - MELFA","02","Congressional","0","0","578","0","578","1272","72","1344"
