"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","##Central Absentee","00","Local","0","871","0","0","871","0","0","0"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","101 - CHINCOTEAGUE","00","Local","1","0","1229","0","1230","2483","98","2581"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","201 - ATLANTIC","00","Local","0","0","517","0","517","1063","41","1104"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","202 - GREENBACKVILLE","00","Local","0","0","669","0","669","1630","93","1723"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","301 - NEW CHURCH","00","Local","1","0","787","0","788","2346","246","2592"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","401 - BLOXOM","00","Local","0","0","348","0","348","803","25","828"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","402 - PARKSLEY","00","Local","0","0","583","0","583","1135","30","1165"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","403 - SAXIS","00","Local","0","0","148","0","148","315","12","327"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","501 - MAPPSVILLE","00","Local","0","0","437","0","437","1080","47","1127"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","502 - RUE","00","Local","1","0","381","0","382","1039","42","1081"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","601 - ACCOMAC","00","Local","0","0","849","0","849","1827","67","1894"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","602 - TANGIER","00","Local","0","0","171","0","171","346","5","351"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","701 - NANDUA","00","Local","0","0","1505","0","1505","2696","130","2826"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","801 - BOBTOWN","00","Local","0","0","490","0","490","881","27","908"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","802 - MELFA","00","Local","1","0","655","0","656","1309","54","1363"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","803 - WACHAPREAGUE","00","Local","1","0","406","0","407","755","21","776"
"2019 November General","2019-11-05 00:00:00","ACCOMACK COUNTY","901 - PAINTER","00","Local","1","0","1284","0","1285","2681","87","2768"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","289","0","0","289","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","667","0","0","667","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","705","0","0","705","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","733","0","0","733","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","775","0","0","775","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","1835","0","0","1835","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","2502","0","0","2502","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","101 - WOODBROOK","00","Local","1","0","670","4","671","2853","128","2981"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","101 - WOODBROOK","00","Local","1","0","867","3","868","2853","128","2981"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","103 - BRANCHLANDS","00","Local","3","0","552","2","555","1256","99","1355"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","104 - AGNOR-HURT","00","Local","1","0","1082","8","1083","2384","122","2506"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","105 - DUNLORA","00","Local","1","0","1798","14","1799","3178","141","3319"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","106 - NORTHSIDE","00","Local","1","0","1691","0","1692","3459","157","3616"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","201 - JACK JOUETT","00","Local","0","0","217","0","217","3492","231","3723"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","201 - JACK JOUETT","00","Local","0","0","1517","16","1517","3492","231","3723"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","202 - UNIVERSITY","00","Local","2","0","1052","2","1054","3810","1033","4843"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","203 - GEORGETOWN","00","Local","1","0","1239","7","1240","3023","230","3253"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","301 - IVY","00","Local","4","0","2101","5","2105","3791","109","3900"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","302 - RED HILL","00","Local","5","0","1524","6","1529","2893","86","2979"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","304 - EAST IVY","00","Local","0","0","537","5","537","1012","30","1042"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","305 - COUNTRY GREEN","00","Local","0","0","1411","18","1411","2593","103","2696"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","306 - PORTERS","00","Local","0","0","733","7","733","1526","43","1569"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","307 - YELLOW MOUNTAIN","00","Local","0","0","356","1","356","687","25","712"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","401 - SCOTTSVILLE","00","Local","2","0","821","0","823","1619","48","1667"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","402 - MONTICELLO","00","Local","0","0","741","4","741","1514","48","1562"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","405 - CALE","00","Local","1","0","1541","3","1542","2889","120","3009"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","406 - STONE ROBINSON","00","Local","1","0","1646","7","1647","3034","74","3108"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","407 - BISCUIT RUN","00","Local","2","0","670","2","672","2200","249","2449"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","501 - KESWICK","00","Local","2","0","777","0","779","1427","50","1477"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","502 - STONY POINT","00","Local","0","0","381","2","381","1559","42","1601"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","502 - STONY POINT","00","Local","0","0","510","2","510","1559","42","1601"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","503 - HOLLYMEAD","00","Local","1","0","1220","3","1221","2346","95","2441"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","504 - FREE BRIDGE","00","Local","9","0","1157","6","1166","2511","118","2629"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","506 - BAKER-BUTLER","00","Local","0","0","1646","1","1646","3109","96","3205"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","507 - PANTOPS","00","Local","1","0","192","0","193","2073","51","2124"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","507 - PANTOPS","00","Local","1","0","1023","2","1024","2073","51","2124"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","601 - CROZET","00","Local","0","0","1782","4","1782","3217","87","3304"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","602 - FREE UNION","00","Local","0","0","823","1","823","1350","55","1405"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","603 - EARLYSVILLE","00","Local","6","0","1751","4","1757","3104","94","3198"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","604 - BROWNSVILLE","00","Local","3","0","1371","8","1374","2654","70","2724"
"2019 November General","2019-11-05 00:00:00","ALBEMARLE COUNTY","606 - MECHUMS RIVER","00","Local","1","0","1667","3","1668","3178","132","3310"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","##Central Absentee","00","Local","0","243","0","0","243","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","##Central Absentee","00","Local","0","521","0","0","521","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","##Central Absentee","00","Local","0","970","0","0","970","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","##Central Absentee","00","Local","0","1244","0","0","1244","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","##Central Absentee","00","Local","0","1450","0","0","1450","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","##Central Absentee","00","Local","0","2214","0","0","2214","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","101 - LADREY SENIOR BUILDING","00","Local","3","0","853","2","856","2792","193","2985"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","102 - CITY HALL","00","Local","3","0","812","0","815","2672","151","2823"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","00","Local","3","0","1106","4","1109","3739","350","4089"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","104 - DURANT CENTER","00","Local","1","0","926","1","927","2887","317","3204"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","105 - LEE CENTER","00","Local","2","0","678","1","680","2503","258","2761"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","106 - CORA KELLY","00","Local","3","0","1145","1","1148","4163","509","4672"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","00","Local","4","0","1470","1","1474","4106","342","4448"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","00","Local","3","0","1475","0","1478","4070","351","4421"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","00","Local","3","0","793","2","796","2519","181","2700"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","00","Local","4","0","920","0","924","3309","394","3703"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","111 - POTOMAC YARD","00","Local","1","0","441","0","442","1691","278","1969"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","112 - ALEX RENEW","00","Local","0","0","639","1","639","2219","493","2712"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","201 - MAURY SCHOOL","00","Local","2","0","1014","0","1016","2729","158","2887"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","00","Local","2","0","1008","0","1010","2777","85","2862"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","203 - AGUDAS ACHIM SYNAGOGUE","00","Local","5","0","1014","1","1019","2793","229","3022"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","00","Local","0","0","946","0","946","2640","94","2734"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","00","Local","2","0","1094","0","1096","3645","311","3956"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","206 - CHINQUAPIN PARK RECREATION CTR","00","Local","3","0","754","4","757","2859","266","3125"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","00","Local","1","0","1411","4","1412","3867","214","4081"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","208 - NOVA ARTS CENTER","00","Local","3","0","841","1","844","4102","567","4669"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","00","Local","1","0","1296","0","1297","3962","403","4365"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","210 - The Hermitage","00","Local","2","0","583","0","585","2219","131","2350"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","302 - PATRICK HENRY REC CENTER","00","Local","2","0","818","1","820","3172","403","3575"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","303 - CHARLES E BEATLEY LIBRARY","00","Local","7","0","973","1","980","3146","332","3478"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","304 - SAMUEL TUCKER SCHOOL","00","Local","3","0","831","0","834","3416","489","3905"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","305 - JOHN ADAMS SCHOOL","00","Local","1","0","759","5","760","3953","582","4535"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","306 - WILLIAM RAMSAY SCHOOL","00","Local","7","0","846","4","853","4073","396","4469"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","307 - SOUTH PORT","00","Local","1","0","1011","3","1012","3365","259","3624"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","308 - CAMERON STATION COMMUNITY CTR","00","Local","2","0","1349","0","1351","3489","291","3780"
"2019 November General","2019-11-05 00:00:00","ALEXANDRIA CITY","309 - OLYMPUS CONDO","00","Local","10","0","691","0","701","2262","471","2733"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","##Central Absentee","00","Local","0","159","0","0","159","0","0","0"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","101 - ARRITT","00","Local","0","0","467","0","467","1031","25","1056"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","103 - DAMERON","00","Local","0","0","154","0","154","349","14","363"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","201 - HUMPBACK BRIDGE","00","Local","0","0","272","0","272","573","18","591"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","202 - DOLLY ANN","00","Local","0","0","359","1","359","784","17","801"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","301 - CALLAGHAN","00","Local","0","0","241","0","241","567","17","584"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","302 - GRIFFITH","00","Local","0","0","458","0","458","999","19","1018"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","401 - LOW MOOR","00","Local","1","0","329","0","330","785","19","804"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","402 - JACKSON HEIGHTS","00","Local","0","0","435","0","435","880","19","899"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","501 - IRON GATE","00","Local","0","0","178","0","178","405","8","413"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","502 - PETERS SWITCH","00","Local","0","0","516","0","516","1101","17","1118"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","601 - DISTRICT 1","00","Local","0","0","578","0","578","1416","39","1455"
"2019 November General","2019-11-05 00:00:00","ALLEGHANY COUNTY","701 - DISTRICT 2","00","Local","0","0","425","0","425","1219","39","1258"
"2019 November General","2019-11-05 00:00:00","AMELIA COUNTY","##Central Absentee","00","Local","0","357","0","0","357","0","0","0"
"2019 November General","2019-11-05 00:00:00","AMELIA COUNTY","101 - NUMBER ONE","00","Local","0","0","843","8","843","1636","45","1681"
"2019 November General","2019-11-05 00:00:00","AMELIA COUNTY","201 - NUMBER TWO","00","Local","0","0","1036","1","1036","1816","39","1855"
"2019 November General","2019-11-05 00:00:00","AMELIA COUNTY","301 - NUMBER THREE","00","Local","0","0","999","2","999","1846","56","1902"
"2019 November General","2019-11-05 00:00:00","AMELIA COUNTY","401 - NUMBER FOUR","00","Local","1","0","971","1","972","1799","42","1841"
"2019 November General","2019-11-05 00:00:00","AMELIA COUNTY","501 - NUMBER FIVE","00","Local","0","0","1097","0","1097","2060","42","2102"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","##Central Absentee","00","Local","0","0","0","0","0","0","0","0"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","##Central Absentee","00","Local","0","391","0","0","391","0","0","0"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","101 - WRIGHT SHOP","00","Local","0","0","606","0","606","1522","56","1578"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","102 - NEW GLASGOW","00","Local","0","0","836","0","836","1817","67","1884"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","103 - COOLWELL","00","Local","0","0","398","0","398","912","32","944"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","201 - COURT HOUSE","00","Local","0","0","1446","0","1446","2885","122","3007"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","202 - TEMPERANCE","00","Local","0","0","525","0","525","1094","37","1131"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","301 - MONROE","00","Local","0","0","566","0","566","1132","60","1192"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","302 - ELON","00","Local","0","0","0","0","0","2728","70","2798"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","302 - ELON","00","Local","0","0","1442","0","1442","2728","70","2798"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","303 - PLEASANT VIEW","00","Local","0","0","361","0","361","661","18","679"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","401 - AMELON","00","Local","0","0","0","0","0","3155","108","3263"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","401 - AMELON","00","Local","0","0","1446","0","1446","3155","108","3263"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","402 - LONCO","00","Local","0","0","339","0","339","923","49","972"
"2019 November General","2019-11-05 00:00:00","AMHERST COUNTY","501 - MADISON","00","Local","0","0","1437","0","1437","3520","138","3658"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","##Central Absentee","00","Local","0","201","0","0","201","0","0","0"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","101 - VERA","00","Local","0","0","406","0","406","766","29","795"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","102 - PAMPLIN","00","Local","0","0","762","2","762","1413","37","1450"
"2019 November General","2019-11-05 00:00:00","APPOMATTOX COUNTY","201 - CHAP","00","Local","0","0","260","0","260","566","19","585"
