[1, 'Independent', '001']
[11, 'Independent', '001']
[508, 'Independent', '001']
[2, 'Independent', '001']
[3, 'Independent', '001']
[10, 'Independent', '001']
[8, 'Independent', '001']
[9, 'Independent', '001']
[644, 'Republican', '001']
[1, 'Independent', '001']
[16, 'Independent', '001']
[32, 'Libertarian', '001']
[784, 'Democratic', '001']
[1, 'Independent', '001']
[9, 'Independent', '001']
[1, 'Independent', '001']
[8, 'Green', '001']
[443, 'Independent', '001']
[1, 'Independent', '001']
[382, 'Independent', '001']
[9, 'Independent', '001']
[1, 'Independent', '001']
[3, 'Independent', '001']
[704, 'Republican', '001']
[700, 'Democratic', '001']
[1, 'Independent', '001']
[1, 'Independent', '001']
[3, 'Independent', '001']
[4, 'Independent', '001']
[1, 'Republican', '001']
[2, 'Libertarian', '001']
[3, 'Democratic', '001']
[2, 'Independent', '001']
[4, 'Republican', '001']
[2, 'Democratic', '001']
[194, 'Independent', '001']
[1188, 'Republican', '001']
[10, 'Independent', '001']
[26, 'Libertarian', '001']
[444, 'Democratic', '001']
[7, 'Green', '001']
[732, 'Independent', '001']
[622, 'Independent', '001']
[1220, 'Republican', '001']
[397, 'Democratic', '001']
[151, 'Independent', '001']
[553, 'Republican', '001']
[7, 'Independent', '001']
[13, 'Libertarian', '001']
[175, 'Democratic', '001']
[1, 'Green', '001']
[354, 'Independent', '001']
[208, 'Independent', '001']
[595, 'Republican', '001']
[126, 'Democratic', '001']
[216, 'Independent', '001']
[697, 'Republican', '001']
[4, 'Independent', '001']
[17, 'Libertarian', '001']
[302, 'Democratic', '001']
[7, 'Green', '001']
[296, 'Independent', '001']
[439, 'Independent', '001']
[739, 'Republican', '001']
[261, 'Democratic', '001']
[455, 'Independent', '001']
[592, 'Republican', '001']
[4, 'Independent', '001']
[21, 'Libertarian', '001']
[713, 'Democratic', '001']
[3, 'Green', '001']
[404, 'Independent', '001']
[387, 'Independent', '001']
[620, 'Republican', '001']
[634, 'Democratic', '001']
[104, 'Independent', '001']
[71, 'Independent', '001']
[342, 'Republican', '001']
[3, 'Independent', '001']
[9, 'Libertarian', '001']
[141, 'Democratic', '001']
[70, 'Independent', '001']
[1, 'Green', '001']
[215, 'Independent', '001']
[22, 'Independent', '001']
[160, 'Independent', '001']
[77, 'Independent', '001']
[79, 'Independent', '001']
[366, 'Republican', '001']
[109, 'Democratic', '001']
[74, 'Independent', '001']
[111, 'Independent', '001']
[489, 'Republican', '001']
[7, 'Independent', '001']
[16, 'Libertarian', '001']
[218, 'Democratic', '001']
[5, 'Green', '001']
[395, 'Independent', '001']
[207, 'Independent', '001']
[537, 'Republican', '001']
[174, 'Democratic', '001']
[37, 'Independent', '001']
[153, 'Republican', '001']
[3, 'Independent', '001']
[1, 'Libertarian', '001']
[42, 'Democratic', '001']
[1, 'Green', '001']
[78, 'Independent', '001']
[80, 'Independent', '001']
[156, 'Republican', '001']
[33, 'Democratic', '001']
[226, 'Independent', '001']
[243, 'Republican', '001']
[1, 'Independent', '001']
[10, 'Libertarian', '001']
[397, 'Democratic', '001']
[7, 'Green', '001']
[208, 'Independent', '001']
[168, 'Independent', '001']
[284, 'Republican', '001']
[330, 'Democratic', '001']
[189, 'Independent', '001']
[119, 'Republican', '001']
[4, 'Independent', '001']
[9, 'Libertarian', '001']
[385, 'Democratic', '001']
[2, 'Green', '001']
[131, 'Independent', '001']
[158, 'Independent', '001']
[164, 'Republican', '001']
[314, 'Democratic', '001']
[242, 'Independent', '001']
[637, 'Republican', '001']
[13, 'Independent', '001']
[16, 'Libertarian', '001']
[486, 'Democratic', '001']
[8, 'Green', '001']
[526, 'Independent', '001']
[323, 'Independent', '001']
[712, 'Republican', '001']
[395, 'Democratic', '001']
[62, 'Independent', '001']
[221, 'Republican', '001']
[1, 'Independent', '001']
[1, 'Libertarian', '001']
[27, 'Democratic', '001']
[1, 'Green', '001']
[110, 'Independent', '001']
[80, 'Independent', '001']
[234, 'Republican', '001']
[14, 'Democratic', '001']
[299, 'Independent', '001']
[976, 'Republican', '001']
[19, 'Independent', '001']
[35, 'Libertarian', '001']
[805, 'Democratic', '001']
[7, 'Green', '001']
[921, 'Independent', '001']
[561, 'Independent', '001']
[1146, 'Republican', '001']
[635, 'Democratic', '001']
[120, 'Independent', '001']
[369, 'Republican', '001']
[3, 'Independent', '001']
[12, 'Libertarian', '001']
[202, 'Democratic', '001']
[4, 'Green', '001']
[291, 'Independent', '001']
[166, 'Independent', '001']
[413, 'Republican', '001']
[170, 'Democratic', '001']
[120, 'Independent', '001']
[241, 'Independent', '001']
[4, 'Independent', '001']
[125, 'Independent', '001']
[107, 'Independent', '001']
[182, 'Independent', '001']
[392, 'Republican', '001']
[5, 'Independent', '001']
[14, 'Libertarian', '001']
[436, 'Democratic', '001']
[134, 'Independent', '001']
[0, 'Green', '001']
[365, 'Independent', '001']
[218, 'Independent', '001']
[139, 'Independent', '001']
[459, 'Republican', '001']
[361, 'Democratic', '001']
[101, 'Independent', '001']
[349, 'Republican', '001']
[2, 'Independent', '001']
[6, 'Libertarian', '001']
[138, 'Democratic', '001']
[0, 'Green', '001']
[239, 'Independent', '001']
[148, 'Independent', '001']
[385, 'Republican', '001']
[105, 'Democratic', '001']
[38, 'Independent', '001']
[761, 'Independent', '001']
[57, 'Independent', '001']
[618, 'Republican', '001']
[42, 'Independent', '001']
[10, 'Independent', '001']
[24, 'Libertarian', '001']
[1042, 'Democratic', '001']
[45, 'Independent', '001']
[4, 'Green', '001']
[485, 'Independent', '001']
[46, 'Independent', '001']
[406, 'Independent', '001']
[754, 'Republican', '001']
[900, 'Democratic', '001']
[39, 'Independent', '001']
[41, 'Independent', '001']
[1828, 'Republican', '003']
[120, 'Independent', '003']
[238, 'Libertarian', '003']
[4707, 'Democratic', '003']
[4413, 'Democratic', '003']
[39, 'Green', '003']
[2194, 'Republican', '003']
[29, 'Republican', '003']
[2, 'Independent', '003']
[5, 'Libertarian', '003']
[48, 'Democratic', '003']
[51, 'Democratic', '003']
[2, 'Green', '003']
[34, 'Republican', '003']
[680, 'Republican', '003']
[23, 'Independent', '003']
[82, 'Libertarian', '003']
[1192, 'Democratic', '003']
[1134, 'Democratic', '003']
[14, 'Green', '003']
[782, 'Republican', '003']
[208, 'Republican', '003']
[5, 'Independent', '003']
[23, 'Libertarian', '003']
[546, 'Democratic', '003']
[525, 'Democratic', '003']
[10, 'Green', '003']
[236, 'Republican', '003']
[406, 'Republican', '003']
[33, 'Independent', '003']
[47, 'Libertarian', '003']
